ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000152583.12	SPARCL1	SPARCL1	8404	SPARC like 1	994.3163629896776	-4.544247745150979	0.20979657525373274	3.8147801658888007e-107	6.588888302523137e-103
ENSG00000148175.13	STOM	STOM	2040	stomatin	13368.294188107804	-1.4130239905699302	0.08808006303231601	5.564449414248687e-60	4.805458514145165e-56
ENSG00000179094.16	PER1	PER1	5187	period circadian regulator 1	764.2751910150247	-3.133166708350641	0.20390395564049374	9.454403580033351e-55	5.443215287811201e-51
ENSG00000134686.18	PHC2	PHC2	1912	polyhomeotic homolog 2	2708.3720710581774	-1.3706230973118312	0.09018813485179625	3.8286825345425116e-54	1.6532251184154565e-50
ENSG00000120129.6	DUSP1	DUSP1	1843	dual specificity phosphatase 1	3357.1543129593742	-2.899715599551716	0.19824471193992074	9.250707396435161e-50	3.1955643630245624e-46
ENSG00000125148.7	MT2A	MT2A	4502	metallothionein 2A	3626.7544013496367	-2.1725322360959862	0.15003187584382074	4.223620694861463e-49	1.2158396106941198e-45
ENSG00000189221.9	MAOA	MAOA	4128	monoamine oxidase A	2329.8581761488163	-3.2379640860696464	0.2269341612111811	9.603675154366246e-48	2.369638246660197e-44
ENSG00000178695.6	KCTD12	KCTD12	115207	potassium channel tetramerization domain containing 12	2632.0130636002878	2.4611066786786537	0.17899679124690093	2.717725576438181e-44	5.867569519530032e-41
ENSG00000101347.9	SAMHD1	SAMHD1	25939	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	12678.01572948183	-3.74598565155334	0.2772927991027256	1.3255795161225617e-43	2.5439343780520986e-40
ENSG00000196517.12	SLC6A9	SLC6A9	6536	solute carrier family 6 member 9	226.70170591418216	2.2024997845898056	0.16317359611775464	4.545438564525038e-43	7.850881488647647e-40
ENSG00000162614.18	NEXN	NEXN	91624	nexilin F-actin binding protein	5248.589743310123	-2.0018742131486507	0.1526413331493777	3.4227499947796417e-41	5.374339809984906e-38
ENSG00000096060.14	FKBP5	FKBP5	2289	FKBP prolyl isomerase 5	2550.790910135226	-3.8172271610155515	0.292192918781733	4.247929352705202e-41	6.114186314993688e-38
ENSG00000162616.9	DNAJB4	DNAJB4	11080	DnaJ heat shock protein family (Hsp40) member B4	1462.786850430418	-1.4964650078801573	0.12409221491000744	1.1354326638866052e-35	1.5085533054345726e-32
ENSG00000166741.7	NNMT	NNMT	4837	nicotinamide N-methyltransferase	7393.011846033193	-2.122719028348319	0.17928651992844533	4.772587148157636e-34	5.888008944498478e-31
ENSG00000183044.12	ABAT	ABAT	18	4-aminobutyrate aminotransferase	494.8999803542594	-1.1413242134451904	0.09733433814811157	2.9481362110685704e-33	3.3946805758384234e-30
ENSG00000116584.20	ARHGEF2	ARHGEF2	9181	Rho/Rac guanine nucleotide exchange factor 2	2220.952656369999	0.9902604311535156	0.08454144809525335	6.491708018517433e-33	7.00779880598957e-30
ENSG00000144369.13	FAM171B	FAM171B	165215	family with sequence similarity 171 member B	1297.626735965294	1.3242519494725498	0.11538996864783896	2.2472336687648006e-32	2.2831894074650375e-29
ENSG00000164125.15	GASK1B	GASK1B	51313	golgi associated kinase 1B	5563.42304721704	-1.103161512276359	0.09721724719766175	2.845673855912332e-31	2.730582157739878e-28
ENSG00000198624.13	CCDC69	CCDC69	26112	coiled-coil domain containing 69	2039.0607040290226	-2.815828529001674	0.24789083376706336	3.285910328883349e-31	2.987065431603853e-28
ENSG00000276600.5	RAB7B	RAB7B	338382	RAB7B, member RAS oncogene family	308.84293209269964	1.8020075765158627	0.16525207147549373	6.816032816302478e-30	5.8863259401588205e-27
ENSG00000108821.13	COL1A1	COL1A1	1277	collagen type I alpha 1 chain	94334.82261886206	1.258321166486855	0.1153382119349589	1.8349595512363006e-29	1.5092105413787325e-26
ENSG00000135821.18	GLUL	GLUL	2752	glutamate-ammonia ligase	19486.57723873462	-2.9103394893272623	0.26546364258883864	2.5229789783494315e-29	1.9807678597296082e-26
ENSG00000164647.9	STEAP1	STEAP1	26872	STEAP family member 1	1811.953093654441	-1.5192884716510378	0.14224614990963794	7.861063758138109e-29	5.903317096980931e-26
ENSG00000162692.12	VCAM1	VCAM1	7412	vascular cell adhesion molecule 1	507.2347928594212	3.463576557287034	0.32235707191506463	1.0596075790835004e-28	7.625642544137591e-26
ENSG00000256235.2	SMIM3	SMIM3	85027	small integral membrane protein 3	1108.4884789004202	-1.2372761518365973	0.11524387118783982	1.3516469644417882e-28	9.338258547935426e-26
ENSG00000163884.4	KLF15	KLF15	28999	KLF transcription factor 15	551.1765377617697	-4.325186572125097	0.41427359498898797	2.361070185437192e-28	1.568477086264276e-25
ENSG00000077684.16	JADE1	JADE1	79960	jade family PHD finger 1	1425.666682508973	-1.187744652417261	0.1110178258094738	2.574934806589937e-28	1.6471953325711627e-25
ENSG00000139132.14	FGD4	FGD4	121512	FYVE, RhoGEF and PH domain containing 4	1215.148748378154	-2.1997805564154773	0.20678659790403328	4.772916578731997e-28	2.890387182519871e-25
ENSG00000114098.18	ARMC8	ARMC8	25852	armadillo repeat containing 8	998.2030487836619	-1.3300200893619218	0.12575746907303234	4.853012291169306e-28	2.890387182519871e-25
ENSG00000123562.17	MORF4L2	MORF4L2	9643	mortality factor 4 like 2	4932.15394636381	-1.0025155891530413	0.09500042466899129	2.7680695739010527e-27	1.5936699226806327e-24
ENSG00000109906.14	ZBTB16	ZBTB16	7704	zinc finger and BTB domain containing 16	1165.5149370406052	-6.9185570485668855	0.7091487737602061	3.0358985701779167e-27	1.6914851646488056e-24
ENSG00000181467.5	RAP2B	RAP2B	5912	RAP2B, member of RAS oncogene family	636.6734554533435	1.2342989879926347	0.11897794165980848	6.4575794406346196e-27	3.485478503082536e-24
ENSG00000145777.15	TSLP	TSLP	85480	thymic stromal lymphopoietin	152.10385792122858	2.6983432553071403	0.25857651530422904	8.516486657294186e-27	4.457477501357126e-24
ENSG00000116285.13	ERRFI1	ERRFI1	54206	ERBB receptor feedback inhibitor 1	3212.0472974210165	-2.37786820478557	0.2290765682819788	1.1559693735992054e-26	5.8723244178839635e-24
ENSG00000165995.20	CACNB2	CACNB2	783	calcium voltage-gated channel auxiliary subunit beta 2	522.1607367318499	-3.110188584814926	0.30302678676301203	3.3043585769089203e-26	1.630653752582025e-23
ENSG00000103196.12	CRISPLD2	CRISPLD2	83716	cysteine rich secretory protein LCCL domain containing 2	2875.4571373927884	-2.6187969135483606	0.259019604071431	2.4074932993933888e-25	1.1448502630683366e-22
ENSG00000163491.16	NEK10	NEK10	152110	NIMA related kinase 10	159.39349328886203	2.3932513998494542	0.23731336990612703	2.452493036911096e-25	1.1448502630683366e-22
ENSG00000183160.9	TMEM119	TMEM119	338773	transmembrane protein 119	2949.122295981198	1.1420748695250447	0.1136539409582971	2.8608608011834036e-25	1.3003365199484144e-22
ENSG00000119138.4	KLF9	KLF9	687	KLF transcription factor 9	1674.6738098175986	-2.0579476647160653	0.20744258907269525	4.714544615159764e-25	2.0879388357189599e-22
ENSG00000163697.17	APBB2	APBB2	323	amyloid beta precursor protein binding family B member 2	2215.547943105779	-1.0522605747313927	0.10500613474726019	5.6300046256091515e-25	2.4310359973380315e-22
ENSG00000177666.17	PNPLA2	PNPLA2	57104	patatin like phospholipase domain containing 2	1639.651947118501	-1.0778555677295316	0.10820948943901006	9.257503009718563e-25	3.8998924874111956e-22
ENSG00000185950.9	IRS2	IRS2	8660	insulin receptor substrate 2	2094.389913881259	-2.1021446875389365	0.2146349810718955	1.9308369668117627e-24	7.940337164469707e-22
ENSG00000157150.5	TIMP4	TIMP4	7079	TIMP metallopeptidase inhibitor 4	164.29305482718783	-2.8173546326340024	0.2850422286120465	2.2110049672305e-24	8.88104134744307e-22
ENSG00000166482.11	MFAP4	MFAP4	4239	microfibril associated protein 4	26149.613948421047	0.9414356761647787	0.09548289642351906	4.29274946692334e-24	1.6850992907431803e-21
ENSG00000141401.12	IMPA2	IMPA2	3613	inositol monophosphatase 2	603.0878867742781	-2.2650354373130366	0.23222684017938217	4.847190413222321e-24	1.8604593959372428e-21
ENSG00000139289.13	PHLDA1	PHLDA1	22822	pleckstrin homology like domain family A member 1	1965.4416832739057	0.9706971650515566	0.099741108600828493	1.36866674716112e-23	5.1390460993406215e-21
ENSG00000211445.12	GPX3	GPX3	2878	glutathione peroxidase 3	12249.81715522761	-3.5503493295575654	0.3711465473163909	1.4978733563323008e-23	5.399773360172199e-21
ENSG00000133142.17	TCEAL4	TCEAL4	79921	transcription elongation factor A like 4	3029.506897267689	-1.502063676538548	0.1582284378576777	1.500631781428124e-23	5.399773360172199e-21
ENSG00000172986.13	GXYLT2	GXYLT2	727936	glucoside xylosyltransferase 2	747.4531733030802	1.521304627099123	0.16119099586542585	2.425787341489792e-23	8.550652849430958e-21
